                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4427,                 1.2682,                  1.062,                0.83933,                0.69132,                 0.8086,                0.49255,                 1.3414,                0.86082,                 1.0031,               0.070074,              0.0033251,              0.0033251
                      2,                 1.3707,                0.89891,                  1.014,                0.83584,                0.71697,                 0.8305,                0.51794,                 1.2561,                0.84063,                 0.9846,               0.040072,              0.0066568,              0.0066568
                      3,                 1.3682,                0.86944,                 1.0155,                 0.8671,                0.70571,                0.83264,                0.53343,                 1.2676,                0.87061,                0.98197,               0.010064,               0.009982,               0.009982
                      4,                 1.3337,                0.83942,                 1.0078,                0.85863,                 0.7474,                0.85767,                0.55223,                 1.2089,                0.77012,                0.95885,               0.009978,               0.009978,               0.009978
                      5,                 1.2841,                0.78936,                 0.9925,                0.89708,                0.76547,                0.88499,                0.58515,                 1.1712,                0.70042,                0.95483,               0.009978,               0.009978,               0.009978
                      6,                  1.243,                0.74518,                0.97958,                0.88671,                0.77717,                0.88598,                0.58511,                 1.1477,                0.68864,                 0.9547,               0.009961,               0.009961,               0.009961
                      7,                 1.2241,                0.72283,                0.97588,                0.89326,                0.77664,                0.89137,                0.59947,                 1.1171,                0.64706,                0.94372,              0.0099391,              0.0099391,              0.0099391
                      8,                 1.1895,                0.69311,                0.96507,                0.89976,                0.78526,                0.89839,                0.60915,                 1.1032,                0.63032,                 0.9386,              0.0099123,              0.0099123,              0.0099123
                      9,                  1.176,                0.67962,                0.95903,                0.90264,                0.78333,                0.90275,                0.62187,                 1.0809,                0.61787,                0.93759,              0.0098808,              0.0098808,              0.0098808
                     10,                 1.1555,                0.66329,                0.95418,                0.90455,                0.79144,                 0.9059,                0.62294,                 1.0704,                0.60194,                0.93008,              0.0098445,              0.0098445,              0.0098445
                     11,                 1.1355,                0.64624,                0.94927,                0.91346,                0.81597,                0.91523,                0.63711,                 1.0386,                0.58605,                0.92298,              0.0098035,              0.0098035,              0.0098035
                     12,                 1.1199,                0.63428,                0.94657,                 0.9182,                0.80664,                0.91587,                0.63751,                 1.0584,                0.57988,                0.92801,              0.0097577,              0.0097577,              0.0097577
                     13,                 1.0929,                0.62347,                0.94039,                0.91084,                 0.8243,                0.92208,                 0.6534,                 1.0166,                0.56231,                0.91417,              0.0097074,              0.0097074,              0.0097074
                     14,                 1.0893,                0.61755,                0.93658,                0.91101,                0.82973,                0.92247,                0.65621,                 1.0013,                0.56222,                0.91355,              0.0096524,              0.0096524,              0.0096524
                     15,                 1.0792,                 0.6069,                0.93402,                0.90541,                 0.8361,                0.92908,                 0.6666,                0.99679,                0.54573,                 0.9109,              0.0095929,              0.0095929,              0.0095929
                     16,                   1.07,                0.59957,                0.93219,                0.90785,                 0.8275,                0.92724,                0.66755,                0.98856,                0.54414,                 0.9114,              0.0095289,              0.0095289,              0.0095289
                     17,                 1.0554,                0.59298,                0.92754,                0.91558,                0.83865,                0.92934,                0.67249,                0.98441,                0.53682,                0.91178,              0.0094605,              0.0094605,              0.0094605
                     18,                 1.0526,                0.58578,                0.92374,                0.91463,                0.83239,                 0.9294,                0.67582,                0.97574,                0.53857,                0.90934,              0.0093877,              0.0093877,              0.0093877
                     19,                 1.0498,                0.58451,                0.92366,                0.92098,                0.84007,                0.93149,                0.67857,                0.96733,                0.52517,                0.90556,              0.0093107,              0.0093107,              0.0093107
                     20,                 1.0274,                0.57099,                0.91874,                0.92284,                0.84023,                 0.9328,                0.67971,                0.95424,                0.51795,                 0.9037,              0.0092294,              0.0092294,              0.0092294
                     21,                 1.0184,                0.56593,                 0.9173,                0.91605,                0.84579,                0.93433,                0.69043,                0.93376,                0.51725,                  0.899,               0.009144,               0.009144,               0.009144
